ubigeo,anio,foncomun_soles
030412,2015,369600.0
030413,2015,369600.0
030414,2015,561069.0
030415,2015,740949.0
030416,2015,447519.0
030417,2015,369600.0
030502,2015,1248128.0
030503,2015,2393486.0
030506,2015,2624086.0
030504,2015,2881727.0
030505,2015,1956420.0
030501,2015,3597142.0
030602,2015,2034551.0
030603,2015,740898.0
030601,2015,3383897.0
030604,2015,2463964.0
030605,2015,1991680.0
030606,2015,2295907.0
030608,2015,1256389.0
030607,2015,979620.0
030714,2015,422511.0
030702,2015,640257.0
030701,2015,1639164.0
030703,2015,1070758.0
030704,2015,435634.0
030705,2015,369600.0
030706,2015,413289.0
030707,2015,369600.0
030708,2015,823883.0
030709,2015,369600.0
030710,2015,369600.0
030711,2015,369600.0
030712,2015,369600.0
030713,2015,369600.0
040102,2015,3915927.0
040101,2015,13483837.0
040103,2015,4392098.0
040104,2015,6959577.0
040105,2015,692054.0
040106,2015,514212.0
040107,2015,2380738.0
040129,2015,3704516.0
040108,2015,2133952.0
040109,2015,2590911.0
040110,2015,2536099.0
040111,2015,369600.0
040112,2015,6063475.0
040113,2015,369600.0
040114,2015,387571.0
040115,2015,369600.0
040116,2015,416535.0
040117,2015,1086425.0
040118,2015,369600.0
040119,2015,1023121.0
040120,2015,369600.0
040121,2015,550597.0
040122,2015,3743811.0
040123,2015,893219.0
040124,2015,895797.0
040125,2015,736688.0
040126,2015,1345381.0
040127,2015,417722.0
040128,2015,1928438.0
040201,2015,1855370.0
040202,2015,493319.0
040203,2015,1277229.0
040204,2015,786368.0
040205,2015,755953.0
040206,2015,744625.0
040207,2015,369600.0
040208,2015,1572925.0
040302,2015,456915.0
040303,2015,659913.0
040304,2015,369600.0
040305,2015,1222942.0
040306,2015,369600.0
040301,2015,1767086.0
040307,2015,821105.0
040308,2015,972769.0
040309,2015,742498.0
040310,2015,369600.0
040311,2015,369600.0
040312,2015,441243.0
040313,2015,369600.0
040402,2015,369600.0
040401,2015,1456354.0
040403,2015,369600.0
040404,2015,369600.0
040405,2015,369600.0
040406,2015,369600.0
040407,2015,369600.0
040408,2015,369600.0
040409,2015,1086613.0
040410,2015,404229.0
040411,2015,369600.0
040412,2015,369600.0
040413,2015,1110918.0
040414,2015,369600.0
040502,2015,369600.0
040503,2015,427335.0
040504,2015,568508.0
040505,2015,733842.0
040506,2015,369600.0
040501,2015,4507983.0
040507,2015,369600.0
040508,2015,388223.0
040509,2015,369600.0
040510,2015,369600.0
040511,2015,428343.0
040512,2015,369600.0
040513,2015,369600.0
040520,2015,10395985.0
040514,2015,491859.0
040515,2015,369600.0
040516,2015,369600.0
040517,2015,485091.0
040518,2015,369600.0
040519,2015,460642.0
040602,2015,369600.0
040603,2015,752674.0
040604,2015,369600.0
040601,2015,971851.0
040605,2015,369600.0
040606,2015,450628.0
